StartDate,EndDate,id,journal,author,doi,title,sci_cat,replic,hypo_tested,num_hyp,support,hyp1,hyp2,effect_size,clin_trial,prereg,prereg_link,data_state,open_data,animal,RCT,sig_level,sig_test,pval_sig,pval_type,rel_pval,sample_info,N,N_just,Team Leader Notes
3/8/21 20:36,3/8/21 20:55,Rosie Twomey,EJSS,Zagatto,10.1080/17461391.2018.1546338,3-min all-out effort on cycle ergometer is valid to estimate the anaerobic capacity by measurement of blood lactate and excess post-exercise oxygen consumption,Applied exercise physiology (human),No,No,,,,,Yes,No,No,,No,,No,No,Yes,Yes,Yes,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",11,No,"Recoded as exact - assumed the couple that were 2 dps ended in 0, considering all other p values are  3dp"
3/8/21 20:55,3/8/21 21:41,Rosie Twomey,EJSS,Douzi,10.1080/17461391.2018.1551937,3-min whole body cryotherapy/cryostimulation after training in the evening improves sleep quality in physically active men,Applied exercise physiology (human),No,Yes,1,Full support,"We assumed that a single exposure to whole body cryotherapy improves sleep quality after evening training and stimulates the reactivation of parasympathetic nervous activity. To verify this hypothesis, we examined the impact of 3-min whole body cryotherapy exposure on subjective and objective sleep quality and night HRV analysis following a standardized training session in physically active men.","The main findings was that a single session of whole- body cryotherapy (3-min at −40°C; wind speed at 2.3 m s−1) in the evening improves the subjective and objective sleep quality, enhances the reactivation of parasympathetic activity and reduces the perceived pain 24 h after a standardized exercise regimen in physically active men.",Yes,Yes,No,,No,,No,Yes,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p <.01,"Yes (e.g., total and group sample sizes provided)",22,Yes,"Although this includes health outcomes, the intervention is looking at recovery from exercise (not a clear health outcome), so not coded as clinical trial. Agreed on randomized design (cross over). All agreed with RT on p values."
3/8/21 21:41,3/8/21 21:53,Rosie Twomey,EJSS,Abbott,10.1080/17461391.2019.1600586,"A season long investigation into the effects of injury, match selection and training load on mental wellbeing in professional under 23 soccer players: A team case study",Sport/exercise psychology,No,Yes,1,Partial support,"We hypothesized that injury, not being selected to play games and high training loads would negatively affect the players MW.","The main findings of this study were that time out injured and not being selected to play games significantly affected MW in a squad of under 23 professional soccer players during the course of a season. / Weekly training loads measured by GPS (total distance, sprint distance and total duration) and individual player win rate did not influence MW (P &gt; 0.05).",Yes,No,No,,No,,No,No,Yes,Yes,,A mix: some exact and relative p-value(s),p <.05,"Yes (e.g., total and group sample sizes provided)",25,No,RT agreed on sci_cat. RT confirmed p values.
3/8/21 21:54,3/8/21 22:05,Rosie Twomey,EJSS,Dalen,10.1080/17461391.2019.1566403,Accelerations – a new approach to quantify physical performance decline in male elite soccer?,Sport performance,No,No,,,,,Yes,No,No,,No,,No,No,Yes,Yes,Yes,"Relative (e.g., p < .05)",p < .001,"Yes (e.g., total and group sample sizes provided)",39,No,MW agreed to coding sample size as number of pts (to recognize as a limitation). Agree with RT on p values (higest precision).
3/9/21 22:27,3/9/21 22:44,Rosie Twomey,EJSS,Ribeiro,10.1080/17461391.2018.1500643,Acute effects of aerobic exercise performed with different volumes on strength performance and neuromuscular parameters,Applied exercise physiology (human),No,Yes,1,Partial support,We hypothesized that a high volume aerobic exercise will result in greater acute interference on maximum strength and strength-endurance performance as well as impairment in central drive.,"Partially contradicting our hypothesis, central drive (i.e. VA and RMS reductions) declined similarly after all aerobic exercises and remained reduced after the strength tests. / The main findings of this study were the following: a) strength-endurance performance (TV) was impaired by previous aerobic exercise in a volume-dependent manner,whilemaximumdynamic strength (1RM) performance was not affected by previous aerobic exercise; b) central drive declined similarly after all aerobic-exercises ",Yes,No,No,,No,,No,No,Yes,Yes,Yes,"Relative (e.g., p < .05)",p < .001,"Yes (e.g., total and group sample sizes provided)",21,No,All agree on Yes effect sizes and with RT on p values.
3/9/21 22:44,3/9/21 22:58,Rosie Twomey,EJSS,Page,10.1080/17461391.2019.1578417,Acute taurine supplementation enhances thermoregulation and endurance cycling performance in the heat,"Environmental physiology (heat, cold, & altitude)",No,Yes,1,Partial support,It was hypothesised that taurine would extend time to exhaustion in the heat and delay the rate of rise in core temperature by enhancing convective or evaporative cooling potential.,"The key findings were that time to exhaustion in the heat (35°C) increased by ∼10%...... Whilst there were no consistent differences in core and skin temperature between conditions during the earlier stages of the time to exhaustion, a lower core temperature was found during the final 10% of the trial and there was a trend for ""small"" reductions in skin temperature based on effect sizes. Whilst there were no consistent differences in core and skin temperature between conditions during the earlier stages of the time to exhaustion, a lower core temperature was found during the final 10% of the trial and there was a trend for ""small"" reductions in skin temperature based on effect sizes.",Yes,No,No,,No,,No,Yes,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",11,Yes,"Based on additional sentences, RT agreed on partial (related to the rate of increase in core temp). RCT agreed - Crossover trial. Use randomized designs in later reporting. Highest precision for relative p values (Chris agreed)."
3/9/21 22:58,3/9/21 23:11,Rosie Twomey,EJSS,Taylor,10.1080/17461391.2018.1527949,Alterations in core temperature during World Rugby Sevens Series tournaments in temperate and warm environments,Sport performance,No,Yes,2,Full support,It was hypothesized that (i) an accumulation (i.e. game-to-game increase) in Tc would occur on each tournament day,there were substantial game-on-game increases in mean Tc,Yes,No,No,,No,,No,No,No,,,,,"Yes (e.g., total and group sample sizes provided)",17,No,"WA agreed on 2 statements and full support based on review, coded sample size as pts for practical reasons."
3/9/21 23:11,3/9/21 23:21,Rosie Twomey,EJSS,Jewell,10.1080/17461391.2019.1575912,"Altered multi-muscle coordination patterns in habitual forefoot runners during a prolonged, exhaustive run",Motor learning/control/behavior,No,Yes,3,Full support,"From the beginning to end of this run, we hypothesized that: (1) there would be fatigue of the plantar flexors and thus a decrease in the total summed intensity of activation of the plantar flexor EMG;",The results of this study are in support of our primary hypothesis and suggests that forefoot runners experience a change in lower extremity muscle coordination patterns over the course of an exhaustive run,Yes,No,No,,No,,No,No,Yes,Yes,Yes,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",13,Yes,
4/11/21 22:01,4/11/21 22:19,Rosie Twomey,EJSS,Harris,10.1080/17461391.2018.1560508,An external focus of attention promotes flow experience during simulated driving,Motor learning/control/behavior,No,Yes,2,Full support,"It was predicted, based on a range of previous work (McNevin et al., 2003; Wulf, 2013), that an external focus would promote improved performance, motor control and attention, and as a result, greater flow experience.","""In line with our primary hypothesis, external focus instructions lead to greater self-reported flow."" ""Similarly, there was no performance effect from instructions to focus externally, despite previous support in a range of tasks (Wulf, 2013)."" ""The external attentional focus manipulation was also predicted to increase automated motor control (steering wheel entropy) and visuomotor coordination (eye-steering coordination), but this hypothesis was not supported (cf. Wulf, 2013)."" """,Yes,No,No,,Yes,Yes,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",33,Yes,RT agreed full support based on the authors interpretation of the primary hypothesis being supported. Lack of support was interpreted as being related to the additional hypothesis statement. WA and CM agreed with open data. WA agreed on p values. WA and RT agree with Chris on sci_cat.
4/11/21 22:19,4/11/21 22:30,Rosie Twomey,EJSS,Hoenig,10.1080/17461391.2018.1519040,Analysis of running stability during 5000 m running,Biomechanics,No,Yes,2,Not supported,"With regard to literature (Asgari, Sanjari, & Esteki, 2017; Cignetti et al., 2009; Granata & Gottipati, 2008), our hypothesis was that local dynamic running stability (measured by the largest Lyapunov exponent λ) decreases during exercise due to fatigue.","Contrary to our hypothesis, the findings from this study suggest that thorax and pelvis LDS increases during exhaustive running.",Yes,No,No,,No,,No,No,Yes,Yes,Yes,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",30,No,Recoded as exact.
