Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,id,journal,author,doi,title,sci_cat,replic,hypo_tested,num_hyp,support,hyp1,hyp2,effect_size,clin_trial,prereg,prereg_link,data_state,open_data,animal,RCT,sig_level,sig_test,pval_sig,pval_type,rel_pval,sample_info,N,N_just
True,2/23/21 11:29,R_w1ARc5sjBmJwmhH,anonymous,EN,Jenny Murphy,JSAMS,Duhig,10.1016/j.jsams.2019.01.010," Effect of concentric and eccentric hamstring training on sprint recovery, strength and muscle architecture in inexperienced athletes",Sport performance,No,Yes,1,Not supported,"We hypothesised that adaptations induced by eccentric training would, in comparison with concen- tric training, result in a better maintenance of sprint performance between sessions and reduced markers of muscle damage (passive hamstring torques, perceived muscle soreness and venous creatine kinase levels (CK)).","ontrary to our hypothesis and despite significant between- group differences in BFLH fascicle lengths and PA before sprint session 1, there were no between- group differences for sprint performance decrements or markers of muscle damage",Yes,No,No,,Yes,No,No,No,Yes,Yes,No,"Exact (e.g., p = .049)",p < .001,"Yes (e.g., total and group sample sizes provided)",30,No
True,2/23/21 12:13,R_12DxkhmIRz67356,anonymous,EN,Jenny Murphy,JSAMS,Kingsley,10.1016/j.jsams.2018.12.003,Wrist-specific accelerometry methods for estimating free-living physical activity,Biomechanics,No,No,,,,,Yes,No,No,,Yes,No,No,No,Yes,Yes,Yes,"Relative (e.g., p < .05)",p < .001,"Yes (e.g., total and group sample sizes provided)",110,No
True,2/25/21 10:57,R_2t0dFeRqCE75sQR,anonymous,EN,Jenny Murphy,JSAMS,Scott,10.1016/j.jsams.2018.11.027,"The effect of 1,3-butanediol and carbohydrate supplementation on running performance",Sport performance,No,Yes,1,Partial support,It was hypothesised that CHO + BD supplementation would increase blood 􏰁HB concentra- tions and also enhance running performance.,"The present study demonstrated that CHO-BD supplemen- tation did not improve 5km TT performance compared to an energy matched carbohydrate drink. However, CHO-BD did acutely increase blood 􏰁HB concentrations higher than those observed when supplementing with medium-chain triacylglycerol19 and ketone salts,20 comparable with results attained after 1–3 days offasting,21 and lower than those produced through combined ketone ester and carbohydrate supplementation.",Yes,No,No,,No,,No,Yes,Yes,Yes,Yes,"Relative (e.g., p < .05)",p <.05,"Yes (e.g., total and group sample sizes provided)",11,No
True,2/25/21 11:13,R_sZFJAOg8b5U9u2B,anonymous,EN,Jenny Murphy,JSAMS,Petrone,10.1016/j.jsams.2019.05.015,"Feasibility of using a novel instrumented human head surrogate to measure helmet, head and brain kinematics and intracranial pressure during multidirectional impact tests",Biomechanics,No,No,,,,,No,No,No,,Yes,Yes,No,No,No,,,,,No (sample size(s) unclear/unreported),,No
True,2/25/21 11:24,R_2ydeqhipen1Shjz,anonymous,EN,Jenny Murphy,JSAMS,Jenner,10.1016/j.jsams.2019.06.014,Dietary intakes of professional Australian football league women’s (AFLW) athletes during a preseason training week,Sport performance,No,Yes,2,Full support,"The hypothesis of this study wasthat the dietary intakes in particular; carbohydrate, calcium and iron would not align with nutrition recommendations, as has been found by research undertaken in female Australian football athletes competing at the state level","The main findings were (1) dietary intakes did not align with nutrition recommendations for carbohydrate, iron and calcium ",No,No,No,,No,,No,No,No,,,,,"Yes (e.g., total and group sample sizes provided)",23,No
True,2/26/21 4:56,R_3frwF9mRpqZOquC,anonymous,EN,Joe Warne,JSAMS,Scott,https://doi.org/10.1016/j.jsams.2018.11.027,"The effect of 1,3-butanediol and carbohydrate supplementation on running performance",Applied exercise physiology (human),No,Yes,1,Partial support,It was hypothesised thatCHO + BD supplementation would increase blood ?HB concentrations and also enhance running performance.,"The present study demonstrated that CHO-BD supplementation did not improve 5 km TT performance compared to anenergy matched carbohydrate drink. However, CHO-BD did acutelyincrease blood ?HB concentrations higher than those observedwhen supplementing with medium-chain triacylglycerol19andketone salts,",No,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p <.05,"Yes (e.g., total and group sample sizes provided)",11,No
True,2/26/21 8:12,R_3GDnf00Lij6dpuw,anonymous,EN,Joe Warne,JSAMS,Dickson,10.1016/j.jsams.2018.08.013,The King–Devick test is not sensitive to self-reported history ofconcussion but is affected by English language skill,Clinical research,No,No,,,,,No,No,No,,No,,No,No,Yes,Yes,Yes,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",75,No
True,2/26/21 10:03,R_1Fh2Hj1DU4D1kvT,anonymous,EN,Jenny Murphy,JSAMS,Krusche,10.1016/j.jsams.2019.04.013,Short- and middle-term high-altitude exposure does not affect visual acuity and contrast sensitivity of healthy young people,"Environmental physiology (heat, cold, & altitude)",No,No,,,,,No,No,No,,No,,No,No,Yes,Yes,Yes,"Relative (e.g., p < .05)",p <.05,"Yes (e.g., total and group sample sizes provided)",10,No
True,2/26/21 10:21,R_PXLkxZQG28EKin7,anonymous,EN,Jenny Murphy,JSAMS,Mtibaa,10.1016/j.jsams.2019.07.008,Heat stress impairs proprioception but not running mechanics,Biomechanics,No,Yes,1,Partial support,"We hypothesized that exercise-induced heat stress would impair ankle proprioception, in turn altering foot strike pattern as manifested by kinematic and spring–mass model adjustments.","Our hypothesis is partly validated since heat stress impairs proprioception, yet without exacerbating run- induced readjustments in stride mechanical pattern",Yes,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",12,No
True,2/26/21 15:27,R_3e7VPwVZCRKoq3O,anonymous,EN,Christoph Schneider,JSAMS,Scott,10.1016/j.jsams.2018.11.027,"The effect of 1,3-butanediol and carbohydrate supplementation on running performance",Applied exercise physiology (human),No,Yes,1,Partial support,It was hypothesised that CHO + BD supplementation would increase blood ßB concentra-tions and also enhance running performance.,"The present study demonstrated that CHO-BD supplemen-tation did not improve 5 km TT performance compared to anenergy matched carbohydrate drink. However, CHO-BD did acutelyincrease blood ?HB concentrations higher than those observedwhen supplementing with medium-chain triacylglycerol19andketone salts,20comparable with results attained after 1–3 days offasting,21and lower than those produced through combined ketoneester and carbohydrate supplementation.5",Yes,No,No,,No,,No,Yes,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",11,No
