Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,id,journal,author,doi,title,sci_cat,replic,hypo_tested,num_hyp,support,hyp1,hyp2,effect_size,clin_trial,prereg,prereg_link,data_state,open_data,animal,RCT,sig_level,sig_test,pval_sig,pval_type,rel_pval,sample_info,N,N_just
1,2/23/21 11:29,R_w1ARc5sjBmJwmhH,anonymous,EN,5,3,Duhig,10.1016/j.jsams.2019.01.010," Effect of concentric and eccentric hamstring training on sprint recovery, strength and muscle architecture in inexperienced athletes",9,2,1,1,3,"We hypothesised that adaptations induced by eccentric training would, in comparison with concen- tric training, result in a better maintenance of sprint performance between sessions and reduced markers of muscle damage (passive hamstring torques, perceived muscle soreness and venous creatine kinase levels (CK)).","ontrary to our hypothesis and despite significant between- group differences in BFLH fascicle lengths and PA before sprint session 1, there were no between- group differences for sprint performance decrements or markers of muscle damage",1,2,2,,1,2,2,2,1,1,2,1,4,1,30,2
1,2/23/21 12:13,R_12DxkhmIRz67356,anonymous,EN,5,3,Kingsley,10.1016/j.jsams.2018.12.003,Wrist-specific accelerometry methods for estimating free-living physical activity,5,2,2,,,,,1,2,2,,1,2,2,2,1,1,1,2,4,1,110,2
1,2/25/21 10:57,R_2t0dFeRqCE75sQR,anonymous,EN,5,3,Scott,10.1016/j.jsams.2018.11.027,"The effect of 1,3-butanediol and carbohydrate supplementation on running performance",9,2,1,1,2,It was hypothesised that CHO + BD supplementation would increase blood 􏰁HB concentra- tions and also enhance running performance.,"The present study demonstrated that CHO-BD supplemen- tation did not improve 5km TT performance compared to an energy matched carbohydrate drink. However, CHO-BD did acutely increase blood 􏰁HB concentrations higher than those observed when supplementing with medium-chain triacylglycerol19 and ketone salts,20 comparable with results attained after 1–3 days offasting,21 and lower than those produced through combined ketone ester and carbohydrate supplementation.",1,2,2,,2,,2,1,1,1,1,2,2,1,11,2
1,2/25/21 11:13,R_sZFJAOg8b5U9u2B,anonymous,EN,5,3,Petrone,10.1016/j.jsams.2019.05.015,"Feasibility of using a novel instrumented human head surrogate to measure helmet, head and brain kinematics and intracranial pressure during multidirectional impact tests",5,2,2,,,,,2,2,2,,1,1,2,2,2,,,,,3,,2
1,2/25/21 11:24,R_2ydeqhipen1Shjz,anonymous,EN,5,3,Jenner,10.1016/j.jsams.2019.06.014,Dietary intakes of professional Australian football league women’s (AFLW) athletes during a preseason training week,9,2,1,2,1,"The hypothesis of this study wasthat the dietary intakes in particular; carbohydrate, calcium and iron would not align with nutrition recommendations, as has been found by research undertaken in female Australian football athletes competing at the state level","The main findings were (1) dietary intakes did not align with nutrition recommendations for carbohydrate, iron and calcium ",2,2,2,,2,,2,2,2,,,,,1,23,2
1,2/26/21 4:56,R_3frwF9mRpqZOquC,anonymous,EN,7,3,Scott,https://doi.org/10.1016/j.jsams.2018.11.027,"The effect of 1,3-butanediol and carbohydrate supplementation on running performance",2,2,1,1,2,It was hypothesised thatCHO + BD supplementation would increase blood ?HB concentrations and also enhance running performance.,"The present study demonstrated that CHO-BD supplementation did not improve 5 km TT performance compared to anenergy matched carbohydrate drink. However, CHO-BD did acutelyincrease blood ?HB concentrations higher than those observedwhen supplementing with medium-chain triacylglycerol19andketone salts,",2,2,2,,2,,2,2,1,1,1,3,2,1,11,2
1,2/26/21 8:12,R_3GDnf00Lij6dpuw,anonymous,EN,7,3,Dickson,10.1016/j.jsams.2018.08.013,The King–Devick test is not sensitive to self-reported history ofconcussion but is affected by English language skill,4,2,2,,,,,2,2,2,,2,,2,2,1,1,1,1,,1,75,2
1,2/26/21 10:03,R_1Fh2Hj1DU4D1kvT,anonymous,EN,5,3,Krusche,10.1016/j.jsams.2019.04.013,Short- and middle-term high-altitude exposure does not affect visual acuity and contrast sensitivity of healthy young people,3,2,2,,,,,2,2,2,,2,,2,2,1,1,1,2,2,1,10,2
1,2/26/21 10:21,R_PXLkxZQG28EKin7,anonymous,EN,5,3,Mtibaa,10.1016/j.jsams.2019.07.008,Heat stress impairs proprioception but not running mechanics,5,2,1,1,2,"We hypothesized that exercise-induced heat stress would impair ankle proprioception, in turn altering foot strike pattern as manifested by kinematic and spring–mass model adjustments.","Our hypothesis is partly validated since heat stress impairs proprioception, yet without exacerbating run- induced readjustments in stride mechanical pattern",1,2,2,,2,,2,2,1,1,1,3,4,1,12,2
1,2/26/21 15:27,R_3e7VPwVZCRKoq3O,anonymous,EN,11,3,Scott,10.1016/j.jsams.2018.11.027,"The effect of 1,3-butanediol and carbohydrate supplementation on running performance",2,2,1,1,2,It was hypothesised that CHO + BD supplementation would increase blood ßB concentra-tions and also enhance running performance.,"The present study demonstrated that CHO-BD supplemen-tation did not improve 5 km TT performance compared to anenergy matched carbohydrate drink. However, CHO-BD did acutelyincrease blood ?HB concentrations higher than those observedwhen supplementing with medium-chain triacylglycerol19andketone salts,20comparable with results attained after 1–3 days offasting,21and lower than those produced through combined ketoneester and carbohydrate supplementation.5",1,2,2,,2,,2,1,1,1,1,3,4,1,11,2
1,2/26/21 15:40,R_9Xi1xQFFLpd8oCJ,anonymous,EN,11,3,Warren,10.1016/j.jsams.2019.01.018,Injury profiles in elite women’s T20 cricket,7,2,2,,,,,2,2,2,,2,,2,2,2,,,,,2,171,2
1,2/26/21 16:22,R_1i5wMdZ030wq5Nb,anonymous,EN,11,3,Omassoli,10.1016/j.jsams.2019.04.010,Variation in renal responses to exercise in the heat with progressive acclimatisation,3,2,1,1,1,"Accepting the limita-tions of using changes in sCr for diagnosis, we hypothesized thatAKI from exercise in the heat would associate with elevated lev-els of these neurohumoral and inflammatory markers, relative tobouts with no AKI (nAKI).","Significant differencesby AKI status were also observed in RPE, neurohumoral and inflam-matory markers, with the performance of RPE being comparablewith that of the other candidate biomarkers",2,2,2,,2,,2,2,1,1,1,3,4,1,20,2
1,2/26/21 16:36,R_cYCGNwlC8DiN0nD,anonymous,EN,11,3,Northey,10.1016/j.jsams.2019.01.004,Can the intensity of physical activity be accurately measured in older adults using questionnaires?,7,2,2,,,,,1,2,2,,2,,2,2,1,1,1,3,4,1,169,
1,2/26/21 17:05,R_2scMklMQcGIQd6P,anonymous,EN,11,3,Kingsley,10.1016/j.jsams.2018.12.003,Wrist-specific accelerometry methods for estimating free-living physical activity,10,2,2,,,,,1,2,2,,2,,2,2,1,1,1,2,4,1,110,2
1,2/26/21 17:18,R_3ltWGmHdeHImo9H,anonymous,EN,11,3,Immler,10.1016/j.jsams.2019.01.015,Individual flexion stiffness of ski boots,5,2,2,,,,,1,2,2,,2,,2,2,1,1,1,3,4,1,20,2
