"","article"
"1","Aerobic_Training_and_Green_Tea_Extract_Protect.4.pdf"
"2","Age_associated_Performance_Decline_and_Sex.15.pdf"
"3","Area_level_Socioeconomic_Environment_and.7.pdf"
"4","Association_between_Lifelong_Physical_Activity_and.3.pdf"
"5","Beep_Test_Performance_Is_Influenced_by_30_Minutes.17.pdf"
"6","Blood_Flow_restricted_Exercise_Does_Not_Induce_a.4.pdf"
"7","Bone_Biomarker_Response_to_Walking_under_Different.4.pdf"
"8","Cardiopulmonary_Profile_of_Individuals_with.2.pdf"
"9","Change_in_Physical_Activity_and_Cardiac_Structure.7.pdf"
"10","Community_Level_Sports_Group_Participation_and_the.5.pdf"
"11","Compositional_Influence_of_Movement_Behaviors_on.21.pdf"
"12","Correlates_of_Children_s_Physical_Activity__A.8.pdf"
"13","Cytokine_and_Sclerostin_Response_to_High_Intensity.5.pdf"
"14","Data_informed_Intervention_Improves_Football.22.pdf"
"15","Delayed_Onset_Muscle_Soreness_and_Topical.20.pdf"
"16","Dermal_Calcium_Loss_Is_Not_the_Primary_Determinant.17.pdf"
"17","Diverse_Exercises_Similarly_Reduce_Older_Adults_.3.pdf"
"18","Dose_Dependent_Effects_of_Exercise_and_Diet_on.16.pdf"
"19","Dual_Task_Walking_Capacity_Mediates_Tai_Ji_Quan.17.pdf"
"20","Dynamics_of_Locomotor_Fatigue_during.19.pdf"
"21","Eccentric_and_Concentric_Resistance_Exercise.1.pdf"
"22","Effect_of_a_Ketogenic_Diet_on_Submaximal_Exercise.19.pdf"
"23","Effect_of_Creatine_Supplementation_on_the_Airways.2.pdf"
"24","Effect_of_Muscle_Tendon_Unit_Length_on_Child_Adult.21.pdf"
"25","Effect_of_Shoe_and_Surface_Stiffness_on_Lower_Limb.13.pdf"
"26","Effectiveness_of_Aerobic_Exercise_Programs_for.11.pdf"
"27","Effects_of_Exercise_on_Stress_induced_Attenuation.9.pdf"
"28","Effects_of_Instrument_assisted_Soft_Tissue.22.pdf"
"29","Effects_of_Repetitive_Head_Impacts_on_a_Concussion.1.pdf"
"30","Effects_of_Static_Stretching_and_Foam_Rolling_on.23.pdf"
"31","Endurance_Exercise_Prevents_Metabolic.5.pdf"
"32","Estimated_Cardiorespiratory_Fitness_and_Risk_of.9.pdf"
"33","Estimating_Tibial_Stress_throughout_the_Duration.10.pdf"
